,Title,Poem,Poet,Tags
1,"
                    The Great San Bernardino Pitch Party
                ","
“I’m interested in feminist oratory,” we think
Jess should say
“Specifically that.”
 
Yellow-breasted engine sounds on the
Joshua tree
Joshua tree mid-shimmy
 
I think every bird is mad
at me. Does that make me
an alcoholic?
 
Let’s take a break, after
the great San Bernardino sculpture party
 
sparkling toilet pieces lay tiled into
the pavilion,
silver flushers too.
 
TV piles. I am
uneasy. So what?
No match for the always sand and always
 
Air. I find a pair of leather pants
Hanging in a hut & touch them.
Definitely not leather.
 
I can see the sunscreen on your face
not rubbed in,
rivulets wet
 
the under-chin. Let’s get this next pitch
right, guys,
decades left of percolation.
 
",Callie Garnett,"Nature,Animals,Arts & Sciences,Painting & Sculpture,Social Commentaries,Gender & Sexuality"
2,"
                    An Animal Unfit for Living Unmolested
                ","
I find the heavens beautiful,
I find the earth so too,
the seas and the ground,
the furling of water and gas,
the bright distant points
of our isolation. I take comfort
in the swinging pendant traffic lights,
the slurry of wet raw flour.
I am programmed to this language,
and can only voice my rejection of it
in the same language.
This is the power of diaspora,
the difficulty in finding alternative.
Let us send messages to the half-existent.
To excuse oneself, to claim not knowing
the future, is inhuman. I am so worthless
that my body serves as brick,
conscripted to build up my prison
until it is time to lay my own body
down for the walls. It is mechanical,
snipping into the loop of every lace,
separating from every link
the cold wrapped bud. At first the skin
is thick and bright,
then darkly collapses.
Nothing keeps its shape,
nothing stands itself upright,
we keep sliding apart into smaller
and smaller components, and it is
in the air above us now,
we do not mingle with the outcome
of ideas any longer, the energy
that knows whether cruelty
is disinterested or rightful.
They are so happy
while we laugh at them,
their eyes enthused and shining
while we trick them
into hurting themselves.
 
",Ginger Ko,"Relationships,Friends & Enemies,Arts & Sciences,Language & Linguistics,Social Commentaries,Race & Ethnicity"
3,"
                    Held in the Arms of St. Francis & the Virgin
                ","
It tastes like all my night
when I'm at the bottom of the borough
sheets burn around me
through the night
Consecrate me
Consecrate me
Conserve me lover
In the sills of your love
in the cells of your palms
from the womb to cell
break me from the belly of ship
let me crash upon you
Consecrate me my lover in your rectum
in a rehabilitation center where athletes seek the best care
I break into you
Consecrate me I want to love you in Syracuse woods
in Sonnino love me against lamb’s wool
I am my sister's wife keeper
Consecrate me
in the discretion of sisters
nuns loving
and hating jobs that ask
with fangs barred
",Jasmine Gibson,"Living,The Body,Love,Desire,Religion,Christianity"
4,"
                    15 Years of Paris
                ","



                                                 (for Daniel, because                                                  
                                                 the Catacombs) 



You’re leaving Las Vegas, except
In German. Point. Point. Point.
Gave it out, beautiful gentilhommeComme vous êtes, toujours,
Unforgettable, circa 2008 how
You made me cum like that -
She got so mad in the bed - the
Hotel bathroom floor,
The bathtub, the apartment where
I was the crying queen
 
Those o’s still unforgettable
And now Paris. I cried today OW!
Your Antarctica cold last
Night. You told me they fucked
You up / I told you he broke
My heart and OW! Freeze
Dried my bandaid right off.
And then the glasses shopping
Memories today yada yada
Wasn’t about the cum shot
Where or if, was about the
Islands and how you said
in the langue d’enemie
No less: “DON’T TOUCH”
 
Don’t Touch!? We just …
They fucked you up all right.
You give so clearly but have iced
Out all the incoming gifts. WELL
PING my darling Walden island.
I can’t take that kind of cold.I’m leaving Las Vegas.
Just a moon in Taurus trying
To sing the sweet and
It’s not a great user experience
 
But I just want you to know
How unforgettable you are
 
 
When the candles call to Hera
I hope they melt your
I hope a goddess or many
Wash that loneliness away
And when I see you again (in 15 years)
There’s only joy and more
 
I prefer you laughing to tears
The good way. Drink us when
We’re done. Well, I guess I did
Almost kill you with a
Razor shave once so it
Seems silly to say I’m sorry I
Lost the phantom thread.
Maybe everything’s a ridiculous
never-ending non-planet
Tho, u did kiss me like unicorns
Exist and bond our skin
Like the organ it deserves to be
Known as
 
 
To know how unforgettable
you are because there
lies the bridge to the
Mainland. & baby, you
Deserve it all.
 
",Katy Bohinc,"Love,Desire,Realistic & Complicated,Activities,Travels & Journeys"
5,"
                    X Number
                ","
of waves dropped into froth     Jellyfish a jar
of innards half-buried in sand     Dead nature     What are
these things and who are they for?     This blue rug
is its own genre     And these painted apples
round out the essence of what can be made
into what can be eaten     Winter interest
3.9 APR     April come     She will not
swipe the sun into sky     Limits of credentialed
credit     “At least you’re not the janitor’s
azaleas of the everyday dustpan”     There’s
the problem     It’s like a concussive
grenade at the end of the mine     Mind the
income gap     Let’s activate the fact that
every word means go back to the back of the line
because that is where the front leads     Years
of the postmodern translated by the annuity
of spring     Hello     My name
is the first person I     I am indebted     I am
indented     I insist on remaining
unidentified
 
",Chris Glomski,"Living,Time & Brevity,Nature,Seas, Rivers, & Streams,Spring,Social Commentaries,Money & Economics"
6,"
                    So
                ","
     I wait and wonder
what I’d do
                   if someone said pick your 60 best poems.
Pick all of them? Or any?
Maybe commit suicide, but everyone would say
“It’s because he’s really gay,” or maybe
“really not gay.”
 
 
                                                               *
 
Read Anne Waldman and Terence Winch,
Bruce Andrews and Adrienne Rich, wonder what might happen
to me this summer if I go away, or stay here in Washington DC
where you can see Watergate live!
                                                                                    *
 
If you want to know the truth today’s my birthday
and though I often feel older, and sometimes appear younger
I’m 31, and like everything else that too can be fun
or a bummer, a drain on the cosmic energy, depending on what?
If you know the answer you win the future;
if you don’t the future is ours to lose or—
whatever happened to the old way of construction?
Well, one line still follows another, and my voices moves
between each space, and when I think of you I sweat,
or maybe just imagine myself like a cartoon troublemaker
big beads of perspiration jumping out from my skin as I
cringe behind the fence that the bully is about to
throw a bomb over, or drop an anvil over, or just put his
meaty fist through and right on into my scared shitless grin,
the analogy resting on our mutual vulnerability—
that’s poetry isn’t it?
                                                                                  *
 
Of course I don’t talk like this.
I talk like this.
 
                                                               *
And now it’s time to go back to THE HISTORY OF ROCK’N’ROLL
which means it’s my night to cook dinner for “the house”—
collective—and it’s gonna be smoked sausage cooked in peppers
and mushrooms and carrots, maybe some onions, and beans
for protein, or something nutritional. I picked the sausage
because it seemed to be looking at me in the Safeway,
not exactly the way I was looking at one of the cashiers,
a young man with curly blonde hair and nice build
who seemed to have a down home kind of friendliness,
or the woman with the little girl the same sizes as Miles,
who is a little smaller than Caitlin, both of whom were
pulling on my pants leg for pennies for gumballs as I watched
the curve of the woman’s arm as she placed each
well thought over item on the counter behind my
vibrational buying and didn’t even notice how much I fell in love
with her arm and felt guilty for objectifying a part of her
although she might all be like her arm and then I might
fall in love with all of her, but that would cause problems,
she probably is already in love with at least one person, and
I’m already in love with about fourteen on a regular basis, and
that keeps causing all kinds of problems because people who are
attracted to my style don’t like my ways—that sounded like
a pretentious folk singing prodigy’s idea of an early Dylan line,
but what I meant would never be explained right in a poem like this,
or one like Anne Waldman’s either though I like to read hers
because they make me want to write, and in my world that’s what
“great” writers are supposed to do–make everyone else, or
at least me, feel like I can write too, and then make me feel,
like I will, and then I do.
                                                                                  *
 
After dinner we’ll eat the cake Atticus made for my birthday
there’ll be some presents from some of the people in the house, and
maybe Annie will stop over, or Matthew might call from work, or we
might all go down to watch him make salads at
                                               FOOD FOR THOUGHT,
and maybe eat some too, all along getting stoned on the house doobie,
which goes too fast these days but never fast enough, which is
about the way I feel on my birthday about my life, either that or
the way I’m easily satisfied but never feel I can get too much–
sometimes everything is enough, you know?
                                                                                   *
 
HAPPY BIRTHDAY TO ME, HAPPY BIRTHDAY TO ME,
I THINK I JUST HEARD CHUCK COME IN, CAITLIN’S
ANGRY WITH ME AND THROWING A TANTRUM IN
HER ROOM, IT’S RAINING BUT I HEAR THE DISHES
BEING DONE FINALLY BY SOMEONE ELSE
HAPPY BIRTHDAY TO ME
 
                                                               *
Resolution: No more guilt trips
from outside or inside
going either direction
–is everybody happy?
 
",Michael Lally,"Living,Birth & Birthdays,Time & Brevity,Love,Desire,Social Commentaries,Gender & Sexuality"
7,"
                    Autumn 2017
                ","
There’s coffee and pie
with a widow from church.
Why do you sit
in the back pew? she asks.
I’m close enough, I say.
Can I sit back there with you?
I’ve always sat there, I tell her,
with my same two friends,
and their clicking oxygen pumps.
One sat next to me for years,
called herself my church girlfriend,
who metastasized, telling me she was
tired of waiting to die.
Now, there’s just my 88-year-old friend,
his pump echoing in the sanctuary,
and there’s that empty
space between us.
I’d like to invite the widow to sit there,
but I miss my dead friend’s laugh,
her loving stories about her husband,
and how we were always
glad to see one another.
I tell the widow all this.
What if I just sat there? she asks.
It’s a free country, I tell her,
and she smiles.
",Bruce Pemberton,
8,"
                    Roadrunners
                ","
In the pink light,
haloes of cloud form over the mountains;
lightning, two valleys away,
then, not an hour later,
 
the explosion of thunder.
The roadrunners
pecking for breadcrumbs on the porch
have long since fled into the rabbitbrush,
 
into the endless ocean of grass.
Driving in every direction
down licks of red road, I have lost
myself in a militarized topography;
 
everything named after army units,
generals, scouts, miners…The Dragoon Mountains,Cochise Stronghold; defunct
 Gleeson and Pearce,
weird, rusty ghost towns, the only
non-derelict structure
for miles, the local school,
 
its polished windows and well-kept lawn,
a source of great local pride.
No mountain monograms
for these desiccated whistle-stops,
 
no giant Q or C or W in bright
white paint to mark
the township's still functional
sorta functional breathing, no
 
carving for them
into the planet's bark;
and thus they are blesséd
to me like no other;
 
every successful city
is a flimsy affair with civility,
its eternalness, like Paris or Rome,
mere hypocrisy.
 
MAKE AMERICA GREAT AGAIN,
BUY REAL ESTATE! Hail follows rain.
Nearby, the township of Sunsites,
once billed as the safest
 
spot to survive
the inevitable nuclear winter,
actually topped Soviet Russia's
list of high-priority targets… Enter
 
the Orange Duck Candidate.
A haboob sweeps across
the Valley of the Senile.
In a week, the mountains
 
have switched from brown
to purple to green.
The desert is human
endeavour's most fitting graveyard;
 
the slow bleaching,
the gradual eroding into sand,
the heat stifling sound as it leaps into the air.
IT CAN'T HAPPEN HERE. But it always does.
 
 
                                         Sulphur Springs Valley
 
",André Naffis-Sahely,"Living,Time & Brevity,Nature,Animals,Landscapes & Pastorals,Weather,Social Commentaries,History & Politics,Town & Country Life,War & Conflict"
9,"
                    Cat Moving Kittens
                ","
We must have known,
Even as we reached
Down to touch them
Where we'd found them
 
Shut-eyed and trembling
Under a straw bale
In the haymow, that
She would move them
 
That night under cover
Of darkness, and that
By finding them
We were making certain
 
We wouldn't see them again
Until we saw them
Crouching under the pickup
Like sullen teens, having gone
 
As wild by then as they'd gone
Still in her mouth that night
She made a decision
Any mother might make
 
Upon guessing the intentions
Of the state: to go and to
Go now, taking everything
You love between your teeth.
",Austin Smith,
10,"
                    Nerve
                ","
In the next scene Walt Whitman
is walking around Boston
Common. He’s young.
It’s winter. Emerson
is there. They walk
and talk for hours, or really
Emerson talks. He scolds
Whitman for slavering
after tree knots and bobbing
with the swimmer. Whitman nods
but in his head he’s busy
tallying his orgasms.
At the carousel
an ancient Puritan is passing
his hat, singing, “Kill It Babe.”
Dozens of geese have gathered
on the frozen pond,
standing on one leg,
tucking the other like a dagger
into their feathery centers.
Well, Emerson asks the poet,
what do you have to say for yourself?
And Whitman, respectfully,
but sure now
all the way down in his bones
where the deep, frontier feeling
of disobedience lives, says,
essentially, go fuck yourself.
I’ll go my own way.
",Geoffrey Hilsabeck,"Living,The Body,Arts & Sciences,Poetry & Poets,Social Commentaries,Gender & Sexuality"
