,Title,Poem,Poet,Tags
1,"
                    Naming the Heartbeats
                ","
   I've become the person who says Darling, who says Sugarpie,     Honeybunch, Snugglebear—and that’s just for my children.     What I call my husband is unprintable. You’re welcome. I am     his sweetheart, and finally, finally—I answer to his call and his     alone. Animals are named for people, places, or perhaps a little     Latin. Plants invite names for colors or plant-parts. When you     get a group of heartbeats together you get names that call out     into the evening’s first radiance of planets: a quiver of cobras,     a maelstrom of salamanders, an audience of squid, or an ostentation     of peacocks. But what is it called when creatures on this earth curl     and sleep, when shadows of moons we don’t yet know brush across     our faces? And what is the name for the movement we make when     we wake, swiping hand or claw or wing across our face, like trying     to remember a path or a river we’ve only visited in our dreams.    
",Aimee Nezhukumatathil,
2,"
                    On Listening to Your Teacher Take Attendance
                ","
   Breathe deep even if it means you wrinkle     your nose from the fake-lemon antiseptic
      of the mopped floors and wiped-down     doorknobs. The freshly soaped necks
      and armpits. Your teacher means well,     even if he butchers your name like
      he has a bloody sausage casing stuck     between his teeth, handprints
      on his white, sloppy apron. And when     everyone turns around to check out
      your face, no need to fush red and warm.     Just picture all the eyes as if your classroom
      is one big scallop with its dozens of icy blues     and you will remember that winter your family      
took you to the China Sea and you sank     your face in it to gaze at baby clams and sea stars      
the size of your outstretched hand. And when     all those necks start to crane, try not to forget      
someone once lathered their bodies, once patted them     dry with a fluffy towel after a bath, set out their clothes      
for the first day of school. Think of their pencil cases     from third grade, full of sharp pencils, a pink pearl eraser.      
Think of their handheld pencil sharpener and its tiny blade.     
",Aimee Nezhukumatathil,"Activities,School & Learning"
3,"
                    Antarctica
                ","
Like nights we knelt on the dirt floor
of a dugout, leaned our heads back,
eyes twitching gone, and popped nitrous
canisters into the communion shapes
of our mouths, slipped inside where
everything seemed to be falling snow,
ice, the time split between chasing flies
through a darkened park and sprawling
in sycamore bark—how clean that abyss
we drifted in, like dew, more like pollen,
on our skins; and, beneath, a want
for touch, a kiss, a return. Like nothing
back then, to break an arm latching on
to the bumper of an Impala, or settling back 
as the car took us as far as the salted bridge,
before letting the ride go with a mitten
caught behind the chrome waving
from the other side of the river. Like this, 
you said, sliding a needle, watching
dope plunge, the body's rush and tow
until you felt something like an angel
hovering above, but it was only pigeon
feathers deviling the air. Those friends
are gone: some dead, dying, locked up
or jailed in themselves; and when I see
some kids running in the heat of a taillight
swirling behind them, I remember we
wanted only to quiet our bodies, their 
unnatural hum, a vague pull inward,
some thin furrows gliding over the snow. 
",James Hoch,"Living,Coming of Age,Life Choices,Religion,God & the Divine"
4,"
                    Teenage Riot
                ","
All of us were boys only some were taller or already in high school, and almost
      nothing else
mattered but to learn some new trick,
to pull off something we saw in a skate video, wind cutting 
around our bodies when we flew
off the lip of a ramp, grabbed the board and twisted
into a 180, kicking 
a leg out and landing it, the only way to run
through the neighborhood
was to run through it
together, flipping off cops and skinheads, I almost
don't even remember girls but a vague sense of the taste of bubble gum
and how they smelled so different
from us, sitting in some kid's basement drinking
his parents' vodka, we grew out our bangs, moved in a pack,
jumped in when some one of us 
got jumped,
so when a man we had never seen before
came up and started beating on Simon, one of us dropped his skateboard, walked
over to the man
like someone walking into a bank
and stabbed him.
The man, startled, sat down, right there on the asphalt,
right in the middle of his new consciousness,
kind of looking around. 
",Matthew Dickman,"Living,Coming of Age,Youth,Relationships,Friends & Enemies"
5,"
                    Minimum Wage
                ","
My mother and I are on the front porch lighting each other's cigarettes
as if we were on a ten-minute break from our jobs
at being a mother and son, just ten minutes
to steal a moment of freedom before clocking back in, before
putting the aprons back on, the paper hats,
washing our hands twice and then standing
behind the counter again,
hoping for tips, hoping the customers
will be nice, will say some kind word, the cool
front yard before us and the dogs 
in the backyard shitting on everything.
We are hunched over, two extras on the set of The Night of the Hunter.
I am pulling a second cigarette out of the pack, a swimmer
rising from a pool of other swimmers. Soon we will go back
inside and sit in the yellow kitchen and drink
the rest of the coffee 
and what is coming to kill us will pour milk
into mine and sugar into hers.
",Matthew Dickman,"Love,Realistic & Complicated,Activities,Jobs & Working,Relationships,Family & Ancestors"
6,"
                    W is for Walt Whitman's Soul
                ","



One of the very first Indian words to enter the English language was the Hindustani slang for plunder: ""loot.""
WILLIAM DALRYMPLE



   It sits with a fork made from a lotus on an ivory chair eating an elephant steak in the company of bears and feral nautch girls on a monsoon evening incandescent with an appetite as mighty as railroads spann’d across seas and reclines, its cheeks burnished, its ass varnished by suns setting on bronze and sugared with saltpetre, its torso a tableaux for the annals of rectitude, the theatre for roiling or robust passage, a veritable Suez Canal towards missionary victories which thrust from such bejeweled and oiled loins anointed by coin— that emission of plump plums, lump sums into the Ganges, that coiling coy virgin maiden winding her languid locks, batting her lashes to its lashes— its spine a gentle wire. Supine, its belly swells with salt and figs with meat and treaties, it corks open a profound song— itself it sings into books heavy with truths on the chair dressed with leather and raw hides kissed by ox blood smeared with beef dung lined with raw silk woven from worms plucked from boughs basted across its pious beaming eyes its spidery ghosted lids, and its byzantine glance unmoors from its Chinese porcelain and crosses the ebony table polished with lac secreted from the cloaca of the kerria lacca set with glazed cakes eaten by pinked mouths wearing crimson robes, to its guests polished and glossed and stained by the ooze drawn to color the uncolored raw linen, the wood, the human. Then its wrist cuffed by gold and cowries and studded with coral draws a whisper- thin muslin veil dyed carmine— sucked from crushed scale of cochineal boiled in ammonia and bled into curds and rouge glinting sanguineous and turbid between bug and rug snug a thug in redcoat or a turncoat carrying urns of this stuff— from estates of cocoa coconut calico— across its face while soft éclairs of chocolate bumble out from its plumed rump choked with gum and linseed flax and cassia cinnamon and pepper like so many lines of blood underwriting the mutton and not the goat so it can sell them with a name of a place like scarves or garlanded whores moored to wharves suckled by mother of pearl or teas named after Earls and they with whole scores to settle settle for homemade cures nettles ginger turmeric— a paste or to taste—and it steals and seals in letters scented with sandal sent abroad waxed and pressed with cornelian gems honed from ground it owns and makes stone from their flesh ekes ink from their sweat soaks indigo in lye fermented with time and makes color so it can bid for its own passage, the passage, O of this soul, to India!   
",Divya Victor,"Social Commentaries,History & Politics,Money & Economics,Race & Ethnicity"
7,"
                    J is for Jarasandha
                ","



There once lived a great king whose twin wives could bear him no children. A wandering sage saw the king’s grief and offered him a magical mango. She who ate the mango would be with child. As he had two wives, the king cut the mango into two perfect halves and offered one half to each wife. After nine months, each wife gave birth to one lifeless half. Horrified, the king ordered these clots of flesh to be left in the forest. A wandering demon found the two lifeless halves and cupped one in each palm. When she brought them together, the two halves fused and a whole child was made in front of her eyes—the demon named the child Jarasandha.
Years passed by and this child grew to be an intimidating and invincible warrior. In a fight with Bhim, an equally invincible warrior, Jarasandha was ripped in half by his enemy. But, each time he was ripped apart, his halves found a way to meet up and become whole. Krishna, who witnessed how Jarasandha’s flesh found its own way back to flesh, motioned to his own cousin with his fingers: toss the halves of his body in opposite directions, he
suggested.
So, when Bhim ripped Jarasandha apart once again, he swung his left half to the right side of the arena and his right half to the left. And his body found no way to return to itself.
In the Toronto airport, where I’ve arrived for a conference, I watch an older Punjabi lady—made to sit in a wheelchair behind two lines of customs officials, a security guard, a translator, and a service-staff member—scream that her son is outside the airport may she please just go tell him she is here she is here she is here please. I stand there holding her hand, my own luggage reluctantly traveling in loops on the belt. Beta—child— she says to me: please tell them my son is here and I am here what is the problem let me go let me go to him.



",Divya Victor,"Relationships,Family & Ancestors,Mythology & Folklore,Fairy-tales & Legends"
8,"
                    M is for Michael Jackson and Malcolm X
                ","
  In the epilogue to The Autobiography of Malcolm X, Alex Haley recounts meeting a pensive Malcolm at the Kennedy airport, watching newly immigrated children “romping and playing” in their sudden home. “By tomorrow night,” Malcolm says to Alex, “they’ll know how to say their first English word—nigger.”
Before cable television arrived in India, America was a white nation. I imagined New England snows dusting California and Miami’s beaches stretched across Appalachia. America was a papier-mâché parody patched together by a cheaply hired prop maker. Geographic accuracy was sacrificed to the interpersonal dramas of Betty and Veronica, and the American banquet was limited to the malted and fried offerings in Pop’s Chock’lit Shoppe, where the Riverdale gang solved the real geopolitical problems of how to get Reggie off Moose’s back with the help of Archie’s fumbling charms. Here, class warfare came with a side of fries. There were rumors of distant family members “settling” in “North Dakota” or “Oklahoma”—names that put themselves together like Lego castles: hard-edged and jutting out with an abrupt L or a particularly pokey K.
Blackness was just a rumor too. Blackness flickered in the background of photographs they sent back from these mysterious locations: here’s an uncle waving at us from a glittering Times Square (Los Angeles); here’s an aunt waving at us mid-way through the soft-focus neon breakfasts with Aunt Jemima’s maple syrup (made from maple leaves); here’s a nephew waving at us next to the poster of a red and white Michael Jordan in a quilted bedroom, his rotund brown body snuggled in tie-dye and tucked into tartan flannel sheets. Blackness was a rumor, that is, until Michael Jackson’s Bad ripped into our consciousness and suddenly, knobby-kneed pre-teens found a way to make stringy curls with coconut oil stolen from their mothers’ kitchens and started moonwalking backwards into my Social Studies classrooms, all snappy crotch and jaunty limbs. We girls rolled our eyes but we kept on watching.
It wasn’t long before Jackson’s unsparing gaze, draped in slick black leather, began replacing the glowing pastel Ganeshes and Saraswatis hanging above study desks. But replacing an elephantine god’s soft paunch with lean, mean celebrity did not save us from our own ignorance of how blackness and brownness were connected through a struggle for economic self-realization and human rights. While kids in Chennai were rehearsing Michael Peters’ signature choreography for “Thriller” and pretending to be zombies—little exemplary half-dead spectacles—Union Carbide was industriously shirking responsibility for the Bhopal Tragedy, which choked thousands of Indians to death, and black mortality was spiking in violent, homicidal protest of the US DEA’s drug buys and cocaine busts.
In other words, Tamilians blinked away Michael Jackson’s blackness. We kept the heat and thunder of his fat synth bass, which found its way into Ilayaraaja’s electric disco in films of the late 1980s like Vetri Vizha and Agni Natchathiram. We kept the ebullient automation of his moves, which became a muscular theme in Prabhu Deva’s blend of baggy breakdance and whimsical terukoothu folk dancing in the 1990s. But we forgot his blackness. In time, the lightning of his presence was replaced by the grey hum of CNN, Cops, Law & Order, and the dull horror of handcuffs on dark wrists. Posters yellowed, cassettes spooled out, and my moonwalking classmates found their scientific calculators and study guides again.
But the rumors of racial difference in George Bush Sr.’s America continued to bloom and wilt in morose cycles in my childhood homes into the 1990s. In damp clusters, it grew like moss under rocks. Rootless, it stretched its stringy arms and held us by the ankles; it grew like mold between bathroom tiles; it spun itself fine and strong, webbing into corners where our brooms couldn’t reach. In time, the mossy rocks lined our after-dinner walks past the hibiscus bushes. In time, a grandmother slipped on the bathroom tiles and stayed in bed, fed conjee by a fatherless girl brought in from the village and the moss grew between her toes and drew her into the earth where they buried the nameless pets and tossed the chicken feathers. In time, the spiders hung so low they fell into pickle jars every time a child fished for a gooseberry or a slice of stony green mango from the brine. And from this brine, in time, we learned to believe that it existed. And as Tamilian families began drifting from the flashy monsoons of India to the June gloom of the California bay or to the sharp wet summers of the Keys, they carried the damp and stench in suitcases and buried it in hushed conversations. They made a poultice of moss and spider web and lodged it in the prayer books, hung it around the children’s necks like a talisman, and they said—as long as she doesn’t marry a black man.  
",Divya Victor,"Social Commentaries,Money & Economics,Race & Ethnicity"
9,,,,
10,,,,
