,Title,Poem,Poet,Tags
1,"
                    In the Next Next World
                ","
That sound Arvo Pärt does with one piano note
stars split, fade, wander
in cosmic expansion—
 
First responder’s genesis and torch of
metadatacrunch tumbling in a 
burnt and weedy churchyard
equal parts Lethe and lithe—
Grass, is it hollow, hallow
to wake no longer among
mortals? The woman her dress flowered
from a blown ceiling silver-rosed—
Flat plasm’s
archangel coming clear out
of sheetrock and screen
shield and spear in hand
let us do all the cooking 
if she will lead the pack, remember the route, read the waters—
After the great fire we
tread river’s late cream and flare.
We woke in a city.
Where who slew us into portions
on a block out of earth
gathered our limbs 
and we were allowed to continue 
unhunted. If “if” is the one word one is given with God 
to explain how one survived.
Oh.  Ah.  Siren,
white cockatoo
meets deep
blue. 
Fog.  Pour ammonia
on coyote 
scat.
",Gillian Conoley,"Living,Sorrow & Grieving,Time & Brevity,Nature,Landscapes & Pastorals,Social Commentaries,History & Politics"
2,"
                    The Present
                ","
It was a vertical time. It was the expression, a spirit giving way onto an electric barren. We
circled and were encircled and had no cause. It was a time of the self come on in a field of
apparatuses. It was vignetted by sleep, and the sleep was in its center breached. Cold moving
through the smell of gas. The big-leafed enclosure. It was a time that clattered at the horizons,
whose recounting was already foreclosed, as in a numeral smudged in powder, as in a thin water
making of the atmosphere a disc. It was a time of guzzling. A time amid what has been kept, a
time of calendered trust, repeated appeal, erasures of flight. We begin with a weedy stem drawn
against the winter sky. Dear hierophant, our decision initialed. The muffled sound of the closet
and the machine.
",Ryo Yamaguchi,"Living,Time & Brevity,Social Commentaries,History & Politics,Money & Economics"
3,"
                    Red Sea
                ","
I’m terrified of a number of fates,
Poisoned water under a tyrant’s wage,
Being fired for doing nothing, my parents dying,
Committing a thought like this to the page,
The splash of acid to the face
The Queens non-profit boss received
Leaving work one blue August evening. Hell’s
So eloquent and poetry’s no fate at all
Unless you count the story of the divided sea
Waiting to wash its assassins away.
Says the Pharaoh, “That’s so sad.”
But that story is less fate than news, whereas
That Queens boss? Permanently burned, the Times
Says one eye won’t stop weeping.
",Daniel Poppick,"Living,Sorrow & Grieving,The Mind,Religion,Judaism,Social Commentaries,Crime & Punishment,War & Conflict"
4,"
                    Know No Name
                ","
Know no name
Why this holy day honed
Hollow day haul
I lost wind when wooden
I can’t bear to be
Unaided in hunt unhanded
To haunt when strewn sound
Who will be held in hand
Brought sent
Mooring at the shore
Who’re you for
For what fewer who wore
Be called this wooer
More who are the ones
In horror to light will strew
then sue for war
",Kazim Ali,"Religion,The Spiritual,Arts & Sciences,Language & Linguistics,Social Commentaries,War & Conflict"
5,"
                    The Pain Reliever
                ","
Silence is the sound the knife makes
slitting the skin.
Can you identify my weakness,
a pricking sensation
and numbness in one limb?
Can you hold this tongue?
Tell me, what is the function
of meticulous courage.
You are the most yourself
when you are in the motion.
One can be quick and too quick.
I have a stomach too.
It gets hungry.
If I be of necessity
opportunity,
if there be the slightest chance of success,
why have a mind, if?
Does that scream in the night across the alley
beg an answer? Are we crowning
into the sludge of an injury and its repair?
An elephant is larger and stronger than a horse;
but it is not preferred as a beast of burden.
Strength is a wee umbrella
in the storm.
This the friction sound heard
in inspiration, expiration, or both.
For convenience of description,
blood is bright red and frothy.
Have you earned the privilege
of making mistakes?
There really is no sex in science.
The nomenclature lifts
delicate subjects up from the plane
in which language places them.
Man has more strength,
woman, more endurance.
The hands and the instruments
are the chief sources of danger.
This fever.
There is no subject on which so much has been written
                                                                             and so little known.
",Carrie Olivia Adams,"Living,Health & Illness,Activities,Jobs & Working,Arts & Sciences,Sciences,Social Commentaries,Gender & Sexuality"
6,"
from ""Company""
                ","
At the top of a hill each morning,
I wait for the bus by the donut store.
Its pink sign looks hot,
curls, like a rope, a stem to a brain.
You turn toward a jade
at the height of your neighborhood,
stop at a light in its gut.
The sun starts to seep up,
reaching all grasses and grooves of the city.
A white bus with black windows passes.
A few minutes later, the city bus arrives like a room.
It crawls warm and dull to the west edge,
breathing its heat, a few baby hands
warming wide glass.
The billboard at my stop displays a large number to call.
A man walks his sniffing dog below it,
sharp legs brushing wild onion.
At the base of the hill,
I enter my code,
push the gray gate open,
allow the worn loop of my bag
down my arm, walk to my station.
I drop the metal end of a hose
into a bucket, turn the tough faucet.
Traveling after the sound,
the cold rushes out
full force from the rubber,
breaking into itself, interrupting and filling
the round plastic space.
Hungry, I pick up the water.
",Emily Hunt,"Activities,Jobs & Working,Travels & Journeys,Social Commentaries,Cities & Urban Life"
7,"
                    Ash Weed
                ","
I am so done with feeling
Xmas Amaryllis grow
in places where thralls go free
I am not quite enough
for the woodland; promoting myself again
after all accused men have been named
In Casablanca I wait for livestock
to come through luxe doors
for thighs to grow less through absorption
My killer is not going to be invited to this
Ornamenting party and I am blue daisies
casting O’s wide in anointment
Now that he’s gone I am free to torch down the
Valley                        la spiaggia of pure
Purple                         small neck in hand
",Laura Marie Marciano,"Social Commentaries,Crime & Punishment,Gender & Sexuality"
8,"
                    Sex Trafficking Incidents in the Life of a Slave Girl in the USA (or, The Nation’s Plague in Plain Sight)
                ","
And now, reader, I come to a period in my unhappy life,
which I would gladly forget if I could. Asia Graves looks straight ahead as she calmly recalls the night a man paid $200 on a Boston street to have sex with her.
 
 
                                                        The remembrance fills me with sorrow and shame. “If you 
                                                        want attention and you see that you’re getting it, you just follow your 
                                                        feelings,” senior Araceli Figueroa, 17, said. “It’s sad.”
 
 
It pains me to tell you of it; but I have promised to tell you
the truth, and I will do it honestly, let it cost me what it
may. A plague more commonly associated with other countries has
been taking young victims in the United States, one by one.",Evie Shockley,"Living,Youth,Social Commentaries,Crime & Punishment,Gender & Sexuality,Race & Ethnicity"
9,"
                    Chief Totopotamoi, 1654
                ","



after Miller Williams



This is to say we continued. As though continuing changed us.
As though continuing brought happiness as we had known.
 
On a dry field without cover, his skin blistered raw in the sun.
Not one among us came, as though he had no relations.
 
What did we say to our brother? How could we leave him alone
while soldiers guarded his corpse as though precious to them?
 
One of the women, in darkness, crept to the field where he died,
prayed for him, covered him up. Dust over what was not dust.
 
We would have ventured out with her if we had loved ourselves less.
We had to think of our children, and he was not coming back.
 
How could we live with the silence, live with our grief and our shame?
Death did not heal what he suffered. He was making demands.
 
We did not want him to be there, asking the question he asked us,
changing the sound of his name. He had embarrassed us.
 
This is the memory we carried, avoiding the thought that he remained
face down among the charred grasses, holding the earth with his hands.
",Karenne Wood,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,History & Politics,War & Conflict"
10,"
                    My Standard Response
                ","
I.
    The first question is always phrased this way:
    “So. How much Indian are you?”
 
II.
    We did not live in tepees.
    We did not braid our hair.
    We did not fringe our shirts.
    We did not wear war bonnets.
    We did not chase the buffalo.
    We did not carry shields.
    We were never Plains Indians.
    We tried to ride,
    but we kept falling off of our dogs.
 
III.
     A local official came to our office to ask our help with a city event. He had a splendid idea, he said. To kick off the event and show everyone in town that our tribe was still around, we should go up to the bluff overlooking the city and make a big smoke signal. Then they would know we were here.
     Who ever heard of smoke signals in the forests? I imagined us upon the bluff, lighting one of those firestarter bricks. We haven’t made fire since the Boy Scouts took over. And how would the citizens know it was us? They’d probably call the fire department.
 
IV.
     As they ask, they think, yes,     I can see it in her face. High cheekbones
    (whatever those are) and dark hair. 
 
    Here’s a thought: don’t we all have
    high cheekbones? If we didn’t,
    our faces would cave in.
   (But I do have a colonized nose.)
 
    I’m sick of explaining myself.
 
    “You know,” I finally say,
    “It doesn’t matter to my people.”
    I ride off to my ranch-style home.
    Time to weave a basket, or something.
 
",Karenne Wood,"Relationships,Family & Ancestors,Social Commentaries,History & Politics,Race & Ethnicity"
