,Title,Poem,Poet,Tags
1,"
                    Terra Pericolosa
                ","
To map the consequences of regardless, of underestimate,
   Of feverish faith, of the mechanical modernism of your false terrain. As if
Port Sulphur remained nominal, its slick globules merely figurative
      Between territories of wait and wetlands of trust.
 
To etch the shallow-water horizon— a techno-utopian tribute
         To shrimp estuaries, bird rookeries, oyster bays,
To tube worms & sea turtles. To watercolor these pelican grasses,
            Oxidized, unapologetic executive marshes, roseated spoonbills.
 
For you who longed to smear concentric circles,
            To have trusted you with longitude and latitude,
To blur this sargassum border between mourning,
               Fighting, and willful denying of objects and subjects. As if
 
Generations of fishermen, scaling orders of magnitude,
                  Navigated oily streaks of miles in a legend of inches,
Skeletal, ghostly swarms of now-opaque, milky jellyfish. As if
                     to bury the blowout, rescind the rig. To fortify, to intone.
 
If naming were not violence, to witness an active verb:                     Top kill, junk shot, top hat, dance dance revolution.
These wayward scripts a frontier province palimpsest.
                        Offshore yet another beacon, another account. Explosive violet iridescent.
 
",Celina Su,"Nature,Animals,Seas, Rivers, & Streams,Arts & Sciences,Language & Linguistics,Social Commentaries,Money & Economics"
2,"
                    He Sees Through Stone
                ","
He sees through stone
he has the secret eyes
this old black one
who under prison skies
sits pressed by the sun
against the western wall
his pipe between purple gums
 
the years fall
like overripe plums
bursting red flesh
on the dark earth
 
his time is not my time
but I have known him
in a time gone
 
he led me trembling cold
into the dark forest
taught me the secret rites
to make it with a woman
to be true to my brothers
to make my spear drink
the blood of my enemies
 
now black cats circle him
flash white teeth
snarl at the air
mashing green grass beneath
shining muscles
ears peeling his words
he smiles
he knows
the hunt    the enemy
he has the secret eyes
he sees through stone
",Etheridge Knight,"Living,Time & Brevity,Social Commentaries,Crime & Punishment"
3,"
                    The Violent Space (or when your sister sleeps around for money)
                ","
 Exchange in greed the ungraceful signs. Thrust
The thick notes between green apple breasts.
Then the shadow of the devil descends,
The violent space cries and angel eyes,
Large and dark, retreat in innocence and in ice.
(Run sister run–the Bugga man comes!)
 
The violent space cries silently,
Like you cried wide years ago
In another space, speckled by the sun
And the leaves of a green plum tree,
And you were stung
By a red wasp and we flew home.
(Run sister run–the Bugga man comes!)
 
Well, hell, lil sis, wasps still sting.
You are all of seventeen and as alone now
In your pain as you were with the sting
On your brow.
Well, shit, lil sis, here we are:
You are I and this poem.
And what should I do? should I squat
In the dust and make strange markings on the ground?
Shall I chant a spell to drive the demon away?
(Run sister run–the Bugga man comes!)
 
In the beginning you were the Virgin Mary,
And you are the Virgin Mary now.
But somewhere between Nazareth and Bethlehem
You lost your name in the nameless void.“O Mary don’t you weep don’t you moan” 
O Mary shake your butt to the violent juke,
Absorb the demon puke and watch the white eyes pop,
(Run sister run–the Bugga man comes!)
 
And what do I do. I boil my tears in a twisted spoon
And dance like an angel on the point of a needle.
I sit counting syllables like Midas gold.
I am not bold. I cannot yet take hold of the demon
And lift his weight from you black belly,
So I grab the air and sing my song.
(But the air cannot stand my singing long.)
",Etheridge Knight,"Living,Disappointment & Failure,Relationships,Family & Ancestors,Social Commentaries,Gender & Sexuality,Money & Economics"
4,"
                    An Ordinary Misfortune [""She is girl. She is gravel.""]
                ","
She is girl. She is gravel. She is grabbed. She is grabbed like handfuls of gravel. Gravel grated by water. Her village is full of gravel fields. It is 1950. She is girl. She is grabbed. She is not my grandmother, though my grandmother is girl. My grandmother’s father closes the gates. Against American soldiers, though they jump over stone walls. To a girl who is not my grandmother. The girl is gravel grabbed. Her language is gravel because it means nothing. Hands full of girl. Fields full of gravel. Korea is gravel and graves. Girl is girl and she will never be a grandmother. She will be girl, girl is gravel and history will skip her like stone over water. Oh girl, oh glory. Girl.
 
",Emily Jungmin Yoon,"Relationships,Family & Ancestors,Social Commentaries,Gender & Sexuality,History & Politics,War & Conflict"
5,"
                    An Ordinary Misfortune [""There was a man""]
                ","
There was a man. A Japanese soldier. One that did not believe in old superstitions. One that did not believe in sex before battle as charm against harm. He was an odd man. One that did not carry an amulet with pubic hair of a comfort woman. Or any piece of her. His comrades said, Be a man. The equation is, an odd man out is not man. There is no reason for logic in war. There is no reason. There was a man. His comrades said, Come raid, come pillage. Pushed him into the station. Their eyes on the holes in the wall. Watched as he came. Became. What is the equation here. There is a no equation. There was a man. One who said weeping, I am not a man, I am not a man.
",Emily Jungmin Yoon,"Social Commentaries,Gender & Sexuality,War & Conflict"
6,"
                    Between Autumn Equinox and Winter Solstice, Today
                ","
I read a Korean poem
with the line “Today you are the youngest
you will ever be.” Today I am the oldest
I have been. Today we drink
buckwheat tea. Today I have heat
in my apartment. Today I think
about the word chada in Korean.
It means cold. It means to be filled with. 
It means to kick. To wear. Today we’re worn.
Today you wear the cold. Your chilled skin.
My heart knocks on my skin. Someone said
winter has broken his windows. The heat inside
and the cold outside sent lightning across glass.
Today my heart wears you like curtains. Today
it fills with you. The window in my room
is full of leaves ready to fall. Chada, you say. It’s tea. 
We drink. It is cold outside.
 
",Emily Jungmin Yoon,"Love,Romantic Love,Nature,Fall,Arts & Sciences,Language & Linguistics"
7,"
                    Kang Duk-kyung
                ","
my school teacher          asked me     if I wanted         
             to go to Japan      do something good for the Emperor
we were led to a harbor
a cargo ship    a train
           to a factory in Doyamaki             where
Food was so scarce    we pulled grass, roots anything we could eat
girls died of hunger    some went crazy
I ran away   was found   by a Japanese soldier 
             Kobayashi
              took me
              to a hut            Every evening
              soldiers
countless soldiers        on the wild mountainside
             Kobayashi
An unusually quiet day
             I found Japan had lost the war
I sailed to Korea
jumped from the crates   hit my stomach with fists
I failed            I named him Young-ju
                        left him at an orphanage
met him every Sunday
             one Sunday
I saw another boy in his clothes
Young-ju had died of pneumonia
             already buried
I thought of Kobayashi bringing me rice
in his drunken stupor                         I thought of the piece of steel
I took    at the factory
I found some of the steel            so attractive
I still believe      he is alive
somewhere                 I want to believe
that all was just a terrible       fate
But then,
              But then
 
",Emily Jungmin Yoon,"Living,Sorrow & Grieving,Social Commentaries,History & Politics,War & Conflict"
8,"
                    Suicide's Note
                ","
The calm, 
Cool face of the river
Asked me for a kiss. 
",Langston Hughes,"Living,Death,Life Choices"
9,"
                    Let America Be America Again
                ","

Let America be America again.
Let it be the dream it used to be.
Let it be the pioneer on the plain
Seeking a home where he himself is free.
 
(America never was America to me.)
 
Let America be the dream the dreamers dreamed—
Let it be that great strong land of love
Where never kings connive nor tyrants scheme
That any man be crushed by one above.
 
(It never was America to me.)
 
O, let my land be a land where Liberty
Is crowned with no false patriotic wreath,
But opportunity is real, and life is free,
Equality is in the air we breathe.
 
(There's never been equality for me,
Nor freedom in this ""homeland of the free."")
 Say, who are you that mumbles in the dark?
And who are you that draws your veil across the stars?",Langston Hughes,"Living,Disappointment & Failure,Social Commentaries,History & Politics,Mythology & Folklore,Heroes & Patriotism,Independence Day"
10,"
                    Mr. Roosevelt Regrets (Detroit Riot, 1943)
","
    Upon reading PM newspaper’s account of Mr. Roosevelt’s statement on the recent race clashes: “I share your feeling that the recent outbreaks of violence in widely spread parts of the country endanger our national unity and comfort our enemies. I am sure that every true American regrets this.”
What’d you get, black boy,
When they knocked you down in the
   gutter,
 And they kicked your teeth out,
And they broke your skull with clubs
And they bashed your stomach in?
What’d you get when the police shot
  you in the back,
And they chained you to the beds
While they wiped the blood off?
What’d you get when you cried out to
  the Top Man?
When you called on the man next to
  God, so you thought,
And asked him to speak out to save
  you?
What’d the Top Man say, black boy?
“Mr. Roosevelt regrets. . . . . . .”
 
",Pauli Murray,"Social Commentaries,Crime & Punishment,History & Politics,Race & Ethnicity"
